Task,Feature family,Feature,Feature id,Sample,N pairs,N clusters,Estimate,95% CI low,95% CI high,Estimate display,95% CI,Clear difference,Direction,Panel association r,Panel association n,Panel preference (r),% moral low higher/better,% framed empty higher/better,% equal/tie/NA,Scale,Definition,Source file
Essay writing,Generic text feature,Words,words,Full paired dataset,1979,7,-14.693563109987483,-29.68387162776079,-2.884923912556439,-15,"[-30, -3]",True,Higher for framed empty,0.32924756620567597,1979,"+0.33 (n=1,979)",34.3%,64.6%,1.1%,Raw feature units; positive means moral low output has more/higher feature value.,Word count.,outputs/analysis/moral_low_vs_framed_empty_feature_deltas_by_task.csv
Essay writing,Generic text feature,Positive-word rate per 1k words,positive_words_per_1k,Full paired dataset,1979,7,1.6026126339925617,0.989405263236173,2.323424036107203,1.60,"[0.99, 2.32]",True,Higher for moral low,-0.06580762071658428,1979,"-0.07 (n=1,979)",54.2%,45.7%,0.1%,Raw feature units; positive means moral low output has more/higher feature value.,"VADER positive-lexicon tokens per 1,000 words.",outputs/analysis/moral_low_vs_framed_empty_feature_deltas_by_task.csv
Essay writing,Generic text feature,Negative-word rate per 1k words,negative_words_per_1k,Full paired dataset,1979,7,-1.227990487065762,-1.9486965584375169,-0.5672242297043549,-1.23,"[-1.95, -0.57]",True,Higher for framed empty,0.012676248567570662,1979,"+0.01 (n=1,979)",44.1%,55.7%,0.3%,Raw feature units; positive means moral low output has more/higher feature value.,"VADER negative-lexicon tokens per 1,000 words.",outputs/analysis/moral_low_vs_framed_empty_feature_deltas_by_task.csv
Essay writing,Generic text feature,Flesch-Kincaid grade,textstat_flesch_kincaid_grade,Full paired dataset,1979,7,0.3600624411068459,0.1923745464716464,0.5135701505337139,0.36,"[0.19, 0.51]",True,Higher for moral low,0.1124593136197515,1979,"+0.11 (n=1,979)",62.3%,37.7%,0.0%,Raw feature units; positive means moral low output has more/higher feature value.,Flesch-Kincaid grade level.,outputs/analysis/moral_low_vs_framed_empty_feature_deltas_by_task.csv
Essay writing,Generic text feature,Paragraphs,paragraphs,Full paired dataset,1979,7,0.2855916217604557,-0.0161548536045275,0.6520286144641904,0.3,"[0.0, 0.7]",False,No clear difference,0.20125195659117148,1979,"+0.20 (n=1,979)",34.4%,17.4%,48.3%,Raw feature units; positive means moral low output has more/higher feature value.,Paragraph count split on blank lines.,outputs/analysis/moral_low_vs_framed_empty_feature_deltas_by_task.csv
Essay writing,Generic text feature,Quantitative detail,quantitative_detail,Full paired dataset,1979,7,0.0151833341508045,-0.0674493106991599,0.1463060451836132,0.015,"[-0.067, 0.146]",False,No clear difference,0.16287651593109537,1979,"+0.16 (n=1,979)",25.8%,27.2%,46.9%,Within-task z-score units; positive means moral low output has more quantitative detail.,Within-task z-score of numeric tokens plus percentage expressions. Computed separately for each output before paired differencing.,outputs/analysis/moral_low_vs_framed_empty_feature_deltas_by_task.csv
Essay writing,Generic text feature,Unique-word ratio,unique_word_ratio,Full paired dataset,1979,7,0.005729732735746,-0.0021375744975302,0.0139333173797034,0.0057,"[-0.0021, 0.0139]",False,No clear difference,0.016183422739522273,1979,"+0.02 (n=1,979)",55.3%,44.6%,0.1%,Raw feature units; positive means moral low output has more/higher feature value.,Unique lowercased word tokens divided by total word tokens.,outputs/analysis/moral_low_vs_framed_empty_feature_deltas_by_task.csv
Essay writing,LLM rubric marker,Thesis and stakes framing,thesis_stakes_framing,Random actor-balanced A/B-coded sample,120,7,-0.365079365079365,-0.5490196078431372,-0.1970121381886087,-0.37,"[-0.55, -0.20]",True,Higher for framed empty,0.27323884402013815,120,+0.27 (n=120),27.5%,64.2%,8.3%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral low output.",Which essay presents the central claim and its stakes more clearly and compellingly?,outputs/analysis/task_rubric_feature_coding/moral_low_vs_framed_empty/rubric_feature_analysis_by_task_dimension.csv
Essay writing,LLM rubric marker,Argument depth,argument_depth,Random actor-balanced A/B-coded sample,120,7,-0.3137254901960783,-0.5518207282913165,-0.0840336134453781,-0.31,"[-0.55, -0.08]",True,Higher for framed empty,0.5009013156867248,120,+0.50 (n=120),32.5%,64.2%,3.3%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral low output.","Which essay gives better causal, economic, ethical, or institutional reasoning rather than generic assertion?",outputs/analysis/task_rubric_feature_coding/moral_low_vs_framed_empty/rubric_feature_analysis_by_task_dimension.csv
Essay writing,LLM rubric marker,Rhetorical coherence and closure,rhetorical_coherence_closure,Random actor-balanced A/B-coded sample,120,7,-0.2815126050420168,-0.5462184873949579,-0.0630252100840336,-0.28,"[-0.55, -0.06]",True,Higher for framed empty,0.4162882218924833,120,+0.42 (n=120),27.5%,55.8%,16.7%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral low output.","Which essay has better paragraph flow, transitions, and final synthesis?",outputs/analysis/task_rubric_feature_coding/moral_low_vs_framed_empty/rubric_feature_analysis_by_task_dimension.csv
Essay writing,LLM rubric marker,Concrete example quality,concrete_example_quality,Random actor-balanced A/B-coded sample,120,7,-0.2203548085901026,-0.5098506069094305,0.0588235294117647,-0.22,"[-0.51, 0.06]",False,No clear difference,0.45602085444744733,120,+0.46 (n=120),37.5%,60.0%,2.5%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral low output.","Which essay uses the required concrete example more specifically, plausibly, and usefully?",outputs/analysis/task_rubric_feature_coding/moral_low_vs_framed_empty/rubric_feature_analysis_by_task_dimension.csv
Essay writing,LLM rubric marker,Counterargument/qualification,counterargument_qualification,Random actor-balanced A/B-coded sample,120,7,-0.1974789915966386,-0.3823529411764705,0.0001050420168052,-0.20,"[-0.38, 0.00]",False,No clear difference,0.2577139963390237,120,+0.26 (n=120),22.5%,42.5%,35.0%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral low output.",Which essay better anticipates objections or tradeoffs and responds to them?,outputs/analysis/task_rubric_feature_coding/moral_low_vs_framed_empty/rubric_feature_analysis_by_task_dimension.csv
Essay writing,LLM rubric marker,Avoids plausibility overreach,plausibility_overreach,Random actor-balanced A/B-coded sample,120,7,0.0084033613445378,0.0,0.0252100840336134,0.01,"[0.00, 0.03]",False,No clear difference,0.06983775851711123,120,+0.07 (n=120),1.7%,0.8%,97.5%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral low output.","Which essay better avoids exaggerated, awkward, unsupported, or factually dubious claims?",outputs/analysis/task_rubric_feature_coding/moral_low_vs_framed_empty/rubric_feature_analysis_by_task_dimension.csv
Grant abstract,Generic text feature,Words,words,Full paired dataset,1831,7,-17.711923298251474,-34.00608105116485,-3.9544169432938463,-18,"[-34, -4]",True,Higher for framed empty,0.2097648348927776,1831,"+0.21 (n=1,831)",35.9%,63.4%,0.7%,Raw feature units; positive means moral low output has more/higher feature value.,Word count.,outputs/analysis/moral_low_vs_framed_empty_feature_deltas_by_task.csv
Grant abstract,Generic text feature,Negative-word rate per 1k words,negative_words_per_1k,Full paired dataset,1831,7,0.769803407199512,0.2447488052638572,1.3151461648149831,0.77,"[0.24, 1.32]",True,Higher for moral low,0.01031353255293117,1831,"+0.01 (n=1,831)",54.3%,45.4%,0.2%,Raw feature units; positive means moral low output has more/higher feature value.,"VADER negative-lexicon tokens per 1,000 words.",outputs/analysis/moral_low_vs_framed_empty_feature_deltas_by_task.csv
Grant abstract,Generic text feature,Paragraphs,paragraphs,Full paired dataset,1831,7,0.6054868471952387,0.1183260802934108,1.2537880712086067,0.6,"[0.1, 1.3]",True,Higher for moral low,0.10682204534820308,1831,"+0.11 (n=1,831)",36.9%,20.5%,42.5%,Raw feature units; positive means moral low output has more/higher feature value.,Paragraph count split on blank lines.,outputs/analysis/moral_low_vs_framed_empty_feature_deltas_by_task.csv
Grant abstract,Generic text feature,Flesch-Kincaid grade,textstat_flesch_kincaid_grade,Full paired dataset,1831,7,0.3278035017478847,0.0666607476852112,0.6489770760024755,0.33,"[0.07, 0.65]",True,Higher for moral low,0.12057693083207342,1831,"+0.12 (n=1,831)",57.3%,42.7%,0.0%,Raw feature units; positive means moral low output has more/higher feature value.,Flesch-Kincaid grade level.,outputs/analysis/moral_low_vs_framed_empty_feature_deltas_by_task.csv
Grant abstract,Generic text feature,Positive-word rate per 1k words,positive_words_per_1k,Full paired dataset,1831,7,-0.148706611603878,-1.2450777720983826,0.7860723429560361,-0.15,"[-1.25, 0.79]",False,No clear difference,-0.11281903305662555,1831,"-0.11 (n=1,831)",50.2%,49.6%,0.2%,Raw feature units; positive means moral low output has more/higher feature value.,"VADER positive-lexicon tokens per 1,000 words.",outputs/analysis/moral_low_vs_framed_empty_feature_deltas_by_task.csv
Grant abstract,Generic text feature,Quantitative detail,quantitative_detail,Full paired dataset,1831,7,-0.0532572833086223,-0.2108938018564893,0.157023355921446,-0.053,"[-0.211, 0.157]",False,No clear difference,0.27902964467388186,1831,"+0.28 (n=1,831)",34.9%,45.1%,20.0%,Within-task z-score units; positive means moral low output has more quantitative detail.,Within-task z-score of numeric tokens plus percentage expressions. Computed separately for each output before paired differencing.,outputs/analysis/moral_low_vs_framed_empty_feature_deltas_by_task.csv
Grant abstract,Generic text feature,Unique-word ratio,unique_word_ratio,Full paired dataset,1831,7,0.0023115387244514,-0.004840999072079,0.0092876277425197,0.0023,"[-0.0048, 0.0093]",False,No clear difference,0.07744907758432759,1831,"+0.08 (n=1,831)",51.7%,48.3%,0.0%,Raw feature units; positive means moral low output has more/higher feature value.,Unique lowercased word tokens divided by total word tokens.,outputs/analysis/moral_low_vs_framed_empty_feature_deltas_by_task.csv
Grant abstract,LLM rubric marker,Measurable impact,measurable_impact,Random actor-balanced A/B-coded sample,118,7,-0.3263305322128851,-0.5322128851540616,-0.0980392156862745,-0.33,"[-0.53, -0.10]",True,Higher for framed empty,0.4646480234449471,118,+0.46 (n=118),29.7%,61.9%,8.5%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral low output.","Which abstract gives more concrete and credible expected impacts, not just larger or more dramatic claims?",outputs/analysis/task_rubric_feature_coding/moral_low_vs_framed_empty/rubric_feature_analysis_by_task_dimension.csv
Grant abstract,LLM rubric marker,Risk mitigation,risk_mitigation,Random actor-balanced A/B-coded sample,118,7,-0.3248716153127918,-0.5459908963585434,-0.0147058823529411,-0.32,"[-0.55, -0.01]",True,Higher for framed empty,0.5048152303249868,118,+0.50 (n=118),33.1%,65.3%,1.7%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral low output.",Which abstract identifies more realistic risks and more credible mitigation plans?,outputs/analysis/task_rubric_feature_coding/moral_low_vs_framed_empty/rubric_feature_analysis_by_task_dimension.csv
Grant abstract,LLM rubric marker,Stakeholder/context fit,stakeholder_context_fit,Random actor-balanced A/B-coded sample,118,7,-0.3154178338001868,-0.5278944911297853,-0.0420109710550887,-0.32,"[-0.53, -0.04]",True,Higher for framed empty,0.4160444686731428,118,+0.42 (n=118),26.3%,57.6%,16.1%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral low output.",Which abstract better fits the affected community or deployment setting?,outputs/analysis/task_rubric_feature_coding/moral_low_vs_framed_empty/rubric_feature_analysis_by_task_dimension.csv
Grant abstract,LLM rubric marker,Intervention specificity,intervention_specificity,Random actor-balanced A/B-coded sample,118,7,-0.3000700280112044,-0.5000437675070027,-0.0675770308123249,-0.30,"[-0.50, -0.07]",True,Higher for framed empty,0.40306422284614596,118,+0.40 (n=118),34.7%,64.4%,0.8%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral low output.","Which abstract gives a more concrete account of what will be built, delivered, tested, or changed?",outputs/analysis/task_rubric_feature_coding/moral_low_vs_framed_empty/rubric_feature_analysis_by_task_dimension.csv
Grant abstract,LLM rubric marker,Evaluation rigor,evaluation_rigor,Random actor-balanced A/B-coded sample,118,7,-0.2712418300653594,-0.4401260504201681,-0.0884687208216619,-0.27,"[-0.44, -0.09]",True,Higher for framed empty,0.32326436346417037,118,+0.32 (n=118),36.4%,63.6%,0.0%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral low output.","Which abstract describes stronger outcomes, design, measurement, comparison/control logic, and analysis plan?",outputs/analysis/task_rubric_feature_coding/moral_low_vs_framed_empty/rubric_feature_analysis_by_task_dimension.csv
Grant abstract,LLM rubric marker,Feasibility/readiness,feasibility_implementation_readiness,Random actor-balanced A/B-coded sample,118,7,-0.2044234360410831,-0.407563025210084,0.0723622782446311,-0.20,"[-0.41, 0.07]",False,No clear difference,0.4318551153023022,118,+0.43 (n=118),37.3%,57.6%,5.1%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral low output.","Which abstract gives more credible evidence that the project can actually be executed, including partners, team capacity, timeline, infrastructure, or prior pilots?",outputs/analysis/task_rubric_feature_coding/moral_low_vs_framed_empty/rubric_feature_analysis_by_task_dimension.csv
Grant abstract,LLM rubric marker,Problem significance,problem_significance,Random actor-balanced A/B-coded sample,118,7,-0.1540032679738562,-0.3077731092436974,0.034547152194211,-0.15,"[-0.31, 0.03]",False,No clear difference,0.33619351731465297,118,+0.34 (n=118),29.7%,44.9%,25.4%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral low output.","Which abstract more clearly states the need, affected population, and consequence of the problem?",outputs/analysis/task_rubric_feature_coding/moral_low_vs_framed_empty/rubric_feature_analysis_by_task_dimension.csv
Incident postmortem,Generic text feature,Words,words,Full paired dataset,1944,7,-24.743652987110913,-40.055234316071065,-12.635682943966922,-25,"[-40, -13]",True,Higher for framed empty,0.3240758230766695,1944,"+0.32 (n=1,944)",37.7%,61.9%,0.4%,Raw feature units; positive means moral low output has more/higher feature value.,Word count.,outputs/analysis/moral_low_vs_framed_empty_feature_deltas_by_task.csv
Incident postmortem,Generic text feature,Unique-word ratio,unique_word_ratio,Full paired dataset,1944,7,0.0083490516844044,0.004047796142479,0.0123612644643548,0.0083,"[0.0040, 0.0124]",True,Higher for moral low,-0.10265057414057528,1944,"-0.10 (n=1,944)",60.2%,39.8%,0.0%,Raw feature units; positive means moral low output has more/higher feature value.,Unique lowercased word tokens divided by total word tokens.,outputs/analysis/moral_low_vs_framed_empty_feature_deltas_by_task.csv
Incident postmortem,Generic text feature,Paragraphs,paragraphs,Full paired dataset,1944,7,-0.4585783191434094,-1.0537842327127398,0.1631024566023353,-0.5,"[-1.1, 0.2]",False,No clear difference,0.15863787251309694,1944,"+0.16 (n=1,944)",34.2%,47.9%,17.8%,Raw feature units; positive means moral low output has more/higher feature value.,Paragraph count split on blank lines.,outputs/analysis/moral_low_vs_framed_empty_feature_deltas_by_task.csv
Incident postmortem,Generic text feature,Positive-word rate per 1k words,positive_words_per_1k,Full paired dataset,1944,7,-0.3273082510061106,-0.8708894973267303,0.1314568886929417,-0.33,"[-0.87, 0.13]",False,No clear difference,-0.07730163268121153,1944,"-0.08 (n=1,944)",49.2%,50.8%,0.1%,Raw feature units; positive means moral low output has more/higher feature value.,"VADER positive-lexicon tokens per 1,000 words.",outputs/analysis/moral_low_vs_framed_empty_feature_deltas_by_task.csv
Incident postmortem,Generic text feature,Negative-word rate per 1k words,negative_words_per_1k,Full paired dataset,1944,7,-0.2538810404186136,-0.8806403046202759,0.5732207484286745,-0.25,"[-0.88, 0.57]",False,No clear difference,0.0025092694428325126,1944,"+0.00 (n=1,944)",48.4%,51.5%,0.1%,Raw feature units; positive means moral low output has more/higher feature value.,"VADER negative-lexicon tokens per 1,000 words.",outputs/analysis/moral_low_vs_framed_empty_feature_deltas_by_task.csv
Incident postmortem,Generic text feature,Flesch-Kincaid grade,textstat_flesch_kincaid_grade,Full paired dataset,1944,7,0.0753887917974402,-0.1500957256836838,0.3774354967236368,0.08,"[-0.15, 0.38]",False,No clear difference,-0.112380942913284,1944,"-0.11 (n=1,944)",49.9%,50.1%,0.0%,Raw feature units; positive means moral low output has more/higher feature value.,Flesch-Kincaid grade level.,outputs/analysis/moral_low_vs_framed_empty_feature_deltas_by_task.csv
Incident postmortem,Generic text feature,Quantitative detail,quantitative_detail,Full paired dataset,1944,7,-0.0295163234671824,-0.1895494702370759,0.1373072186045172,-0.030,"[-0.190, 0.137]",False,No clear difference,0.38802257488796627,1944,"+0.39 (n=1,944)",49.3%,47.9%,2.8%,Within-task z-score units; positive means moral low output has more quantitative detail.,Within-task z-score of numeric tokens plus percentage expressions. Computed separately for each output before paired differencing.,outputs/analysis/moral_low_vs_framed_empty_feature_deltas_by_task.csv
Incident postmortem,LLM rubric marker,Operational realism,operational_realism,Random actor-balanced A/B-coded sample,119,7,0.1329365079365079,-0.1271008403361344,0.4024276377217553,0.13,"[-0.13, 0.40]",False,No clear difference,0.475470145258067,119,+0.48 (n=119),52.1%,38.7%,9.2%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral low output.",Which postmortem sounds more like a real engineering postmortem rather than a polished but generic template?,outputs/analysis/task_rubric_feature_coding/moral_low_vs_framed_empty/rubric_feature_analysis_by_task_dimension.csv
Incident postmortem,LLM rubric marker,Contributing-factor analysis,contributing_factor_analysis,Random actor-balanced A/B-coded sample,119,7,0.0818160597572362,-0.25,0.3949579831932773,0.08,"[-0.25, 0.39]",False,No clear difference,0.5669899602767026,119,+0.57 (n=119),53.8%,45.4%,0.8%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral low output.","Which postmortem better separates root cause from contributing factors such as monitoring, process, deployment, review, or testing gaps?",outputs/analysis/task_rubric_feature_coding/moral_low_vs_framed_empty/rubric_feature_analysis_by_task_dimension.csv
Incident postmortem,LLM rubric marker,Detection/observability analysis,detection_observability_analysis,Random actor-balanced A/B-coded sample,119,7,0.0776143790849673,-0.1410130718954248,0.2961046918767506,0.08,"[-0.14, 0.30]",False,No clear difference,0.4405288606771303,119,+0.44 (n=119),52.9%,45.4%,1.7%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral low output.",Which postmortem better explains why the incident was not detected earlier or why alerts/dashboards failed?,outputs/analysis/task_rubric_feature_coding/moral_low_vs_framed_empty/rubric_feature_analysis_by_task_dimension.csv
Incident postmortem,LLM rubric marker,Root-cause specificity,root_cause_specificity,Random actor-balanced A/B-coded sample,119,7,0.0631419234360411,-0.2328431372549019,0.3479458450046682,0.06,"[-0.23, 0.35]",False,No clear difference,0.5140813782828394,119,+0.51 (n=119),52.9%,46.2%,0.8%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral low output.",Which postmortem identifies the proximate technical failure and the deeper system failure more precisely?,outputs/analysis/task_rubric_feature_coding/moral_low_vs_framed_empty/rubric_feature_analysis_by_task_dimension.csv
Incident postmortem,LLM rubric marker,Timeline precision,timeline_precision,Random actor-balanced A/B-coded sample,119,7,0.0557889822595704,-0.2005135387488328,0.3352007469654529,0.06,"[-0.20, 0.34]",False,No clear difference,0.4687857730457496,119,+0.47 (n=119),52.9%,47.1%,0.0%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral low output.",Which postmortem gives a clearer chronological account with useful timestamps and event sequencing?,outputs/analysis/task_rubric_feature_coding/moral_low_vs_framed_empty/rubric_feature_analysis_by_task_dimension.csv
Incident postmortem,LLM rubric marker,Impact specificity,impact_specificity,Random actor-balanced A/B-coded sample,119,7,0.0492530345471522,-0.1890756302521008,0.3118580765639588,0.05,"[-0.19, 0.31]",False,No clear difference,0.2580654118736661,119,+0.26 (n=119),52.1%,47.1%,0.8%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral low output.","Which postmortem quantifies scope, duration, affected systems/users, severity, and business/customer impact better?",outputs/analysis/task_rubric_feature_coding/moral_low_vs_framed_empty/rubric_feature_analysis_by_task_dimension.csv
Incident postmortem,LLM rubric marker,Action-item concreteness,action_item_concreteness,Random actor-balanced A/B-coded sample,119,7,0.0304621848739495,-0.2416754201680672,0.3025210084033612,0.03,"[-0.24, 0.30]",False,No clear difference,0.34128007201078964,119,+0.34 (n=119),51.3%,47.9%,0.8%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral low output.","Which postmortem gives more concrete, owned, prioritized, and recurrence-preventing action items?",outputs/analysis/task_rubric_feature_coding/moral_low_vs_framed_empty/rubric_feature_analysis_by_task_dimension.csv
Incident postmortem,LLM rubric marker,Blameless systems framing,blameless_systems_framing,Random actor-balanced A/B-coded sample,119,7,-0.0243930905695611,-0.1046918767507002,0.042016806722689,-0.02,"[-0.10, 0.04]",False,No clear difference,0.1611804016546658,119,+0.16 (n=119),5.0%,7.6%,87.4%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral low output.",Which postmortem avoids individual blame while still giving a candid causal account?,outputs/analysis/task_rubric_feature_coding/moral_low_vs_framed_empty/rubric_feature_analysis_by_task_dimension.csv
Translation,Generic text feature,Negative-word rate per 1k words,negative_words_per_1k,Full paired dataset,1933,7,-0.4848705727659478,-0.8120859905499219,-0.1419934424252499,-0.48,"[-0.81, -0.14]",True,Higher for framed empty,-0.010081938734781118,1933,"-0.01 (n=1,933)",14.8%,16.2%,68.9%,Raw feature units; positive means moral low output has more/higher feature value.,"VADER negative-lexicon tokens per 1,000 words.",outputs/analysis/moral_low_vs_framed_empty_feature_deltas_by_task.csv
Translation,Generic text feature,Words,words,Full paired dataset,1933,7,0.2411499403754015,0.0995905442828399,0.3784797555385791,0.2,"[0.1, 0.4]",True,Higher for moral low,-0.004589167576460742,1933,"+0.00 (n=1,933)",41.9%,38.3%,19.8%,Raw feature units; positive means moral low output has more/higher feature value.,Word count.,outputs/analysis/moral_low_vs_framed_empty_feature_deltas_by_task.csv
Translation,Generic text feature,Paragraphs,paragraphs,Full paired dataset,1933,7,0.0047061961525739,0.001052643822551,0.0088827349121466,0.0,"[0.0, 0.0]",True,Higher for moral low,-0.03717647500463007,1933,"-0.04 (n=1,933)",0.4%,0.2%,99.5%,Raw feature units; positive means moral low output has more/higher feature value.,Paragraph count split on blank lines.,outputs/analysis/moral_low_vs_framed_empty_feature_deltas_by_task.csv
Translation,Generic text feature,Quantitative detail,quantitative_detail,Full paired dataset,1933,7,-0.0041815225849861,-0.0078445959743978,-0.0007908303513782,-0.004,"[-0.008, -0.001]",True,Higher for framed empty,-0.035077291849789395,1933,"-0.04 (n=1,933)",1.7%,2.2%,96.1%,Within-task z-score units; positive means moral low output has more quantitative detail.,Within-task z-score of numeric tokens plus percentage expressions. Computed separately for each output before paired differencing.,outputs/analysis/moral_low_vs_framed_empty_feature_deltas_by_task.csv
Translation,Generic text feature,Positive-word rate per 1k words,positive_words_per_1k,Full paired dataset,1933,7,0.0454186690984721,-0.489586333826254,0.6000077785189253,0.05,"[-0.49, 0.60]",False,No clear difference,-0.04371904942355289,1933,"-0.04 (n=1,933)",33.0%,35.5%,31.5%,Raw feature units; positive means moral low output has more/higher feature value.,"VADER positive-lexicon tokens per 1,000 words.",outputs/analysis/moral_low_vs_framed_empty_feature_deltas_by_task.csv
Translation,Generic text feature,Flesch-Kincaid grade,textstat_flesch_kincaid_grade,Full paired dataset,1933,7,-0.0278752516972013,-0.15335231458077,0.0970159095045359,-0.03,"[-0.15, 0.10]",False,No clear difference,0.006973025581080503,1933,"+0.01 (n=1,933)",48.7%,44.7%,6.6%,Raw feature units; positive means moral low output has more/higher feature value.,Flesch-Kincaid grade level.,outputs/analysis/moral_low_vs_framed_empty_feature_deltas_by_task.csv
Translation,Generic text feature,Unique-word ratio,unique_word_ratio,Full paired dataset,1933,7,-0.0013851763276117,-0.0032343202016018,0.0006154055548086,-0.0014,"[-0.0032, 0.0006]",False,No clear difference,0.06473280619835262,1933,"+0.06 (n=1,933)",42.9%,46.4%,10.7%,Raw feature units; positive means moral low output has more/higher feature value.,Unique lowercased word tokens divided by total word tokens.,outputs/analysis/moral_low_vs_framed_empty_feature_deltas_by_task.csv
Translation,LLM rubric marker,Avoids additions/omissions,additions_omissions,Random actor-balanced A/B-coded sample,120,7,-0.0583566760037348,-0.1092436974789916,-0.007469654528478,-0.06,"[-0.11, -0.01]",True,Higher for framed empty,-0.0051556255727360865,120,-0.01 (n=120),1.7%,7.5%,90.8%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral low output.",Which translation has fewer unsupported additions and fewer omissions of source meaning?,outputs/analysis/task_rubric_feature_coding/moral_low_vs_framed_empty/rubric_feature_analysis_by_task_dimension.csv
Translation,LLM rubric marker,Fluency/idiomaticity,fluency_idiomaticity,Random actor-balanced A/B-coded sample,120,7,-0.0994397759103641,-0.226890756302521,0.042016806722689,-0.10,"[-0.23, 0.04]",False,No clear difference,0.4306909012347684,120,+0.43 (n=120),26.7%,36.7%,36.7%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral low output.",Which translation reads more naturally and idiomatically in English?,outputs/analysis/task_rubric_feature_coding/moral_low_vs_framed_empty/rubric_feature_analysis_by_task_dimension.csv
Translation,LLM rubric marker,Structural clarity,structural_clarity,Random actor-balanced A/B-coded sample,120,7,-0.0410830999066293,-0.0830999066293183,0.0009337068160597,-0.04,"[-0.08, 0.00]",False,No clear difference,0.31006475473387185,120,+0.31 (n=120),12.5%,16.7%,70.8%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral low output.","Which translation more clearly handles clauses, lists, appositives, parentheticals, quotation, and sentence breaks while preserving source relations?",outputs/analysis/task_rubric_feature_coding/moral_low_vs_framed_empty/rubric_feature_analysis_by_task_dimension.csv
Translation,LLM rubric marker,Terminology precision,terminology_precision,Random actor-balanced A/B-coded sample,120,7,-0.0406162464985994,-0.1484593837535013,0.0672268907563025,-0.04,"[-0.15, 0.07]",False,No clear difference,0.47801747243070375,120,+0.48 (n=120),18.3%,22.5%,59.2%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral low output.",Which translation uses more domain-appropriate terminology?,outputs/analysis/task_rubric_feature_coding/moral_low_vs_framed_empty/rubric_feature_analysis_by_task_dimension.csv
Translation,LLM rubric marker,Numeric/factual fidelity,numeric_factual_fidelity,Random actor-balanced A/B-coded sample,120,7,-0.0084033613445378,-0.0336134453781512,0.0168067226890756,-0.01,"[-0.03, 0.02]",False,No clear difference,0.10670864503094103,120,+0.11 (n=120),0.8%,1.7%,97.5%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral low output.","Which translation better preserves numbers, dates, currencies, percentages, units, and factual details?",outputs/analysis/task_rubric_feature_coding/moral_low_vs_framed_empty/rubric_feature_analysis_by_task_dimension.csv
Translation,LLM rubric marker,Named-entity fidelity,named_entity_fidelity,Random actor-balanced A/B-coded sample,120,7,-0.007469654528478,-0.0980392156862745,0.0840336134453781,-0.01,"[-0.10, 0.08]",False,No clear difference,0.18437182892045315,120,+0.18 (n=120),14.2%,15.0%,70.8%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral low output.","Which translation better handles names, organizations, places, titles, acronyms, and transliterations?",outputs/analysis/task_rubric_feature_coding/moral_low_vs_framed_empty/rubric_feature_analysis_by_task_dimension.csv
