Task,Feature family,Feature,Feature id,Sample,N pairs,N clusters,Estimate,95% CI low,95% CI high,Estimate display,95% CI,Clear difference,Direction,Panel association r,Panel association n,Panel preference (r),% moral low higher/better,% framed neutral higher/better,% equal/tie/NA,Scale,Definition,Source file
Essay writing,Generic text feature,Words,words,Full paired dataset,1979,7,-9.907262301911166,-18.55780325590137,-1.7609802702844537,-9.9,"[-19, -2]",True,Higher for framed neutral,0.3036305983447482,1518,"+0.30 (n=1,518)",38.2%,60.7%,1.1%,Raw feature units; positive means moral low output has more/higher feature value.,Word count.,outputs/analysis/moral_low_vs_framed_neutral_feature_deltas_by_task.csv
Essay writing,Generic text feature,Positive-word rate per 1k words,positive_words_per_1k,Full paired dataset,1979,7,2.2842896457566484,1.2110662825459364,3.5140253870300175,2.28,"[1.21, 3.51]",True,Higher for moral low,-0.11858508014125632,1518,"-0.12 (n=1,518)",56.0%,44.0%,0.1%,Raw feature units; positive means moral low output has more/higher feature value.,"VADER positive-lexicon tokens per 1,000 words.",outputs/analysis/moral_low_vs_framed_neutral_feature_deltas_by_task.csv
Essay writing,Generic text feature,Negative-word rate per 1k words,negative_words_per_1k,Full paired dataset,1979,7,-1.8004201495422154,-2.6411516860208413,-1.0320916551830508,-1.80,"[-2.64, -1.03]",True,Higher for framed neutral,0.04373710810291084,1518,"+0.04 (n=1,518)",43.3%,56.6%,0.1%,Raw feature units; positive means moral low output has more/higher feature value.,"VADER negative-lexicon tokens per 1,000 words.",outputs/analysis/moral_low_vs_framed_neutral_feature_deltas_by_task.csv
Essay writing,Generic text feature,Flesch-Kincaid grade,textstat_flesch_kincaid_grade,Full paired dataset,1979,7,0.3819592632964728,0.2367894084108905,0.5684167526620322,0.38,"[0.24, 0.57]",True,Higher for moral low,0.13183982711285608,1518,"+0.13 (n=1,518)",63.0%,37.0%,0.0%,Raw feature units; positive means moral low output has more/higher feature value.,Flesch-Kincaid grade level.,outputs/analysis/moral_low_vs_framed_neutral_feature_deltas_by_task.csv
Essay writing,Generic text feature,Paragraphs,paragraphs,Full paired dataset,1979,7,0.2236065417544103,0.0361898894787806,0.4759548688859034,0.2,"[0.0, 0.5]",True,Higher for moral low,0.13515649592133486,1518,"+0.14 (n=1,518)",30.7%,18.1%,51.2%,Raw feature units; positive means moral low output has more/higher feature value.,Paragraph count split on blank lines.,outputs/analysis/moral_low_vs_framed_neutral_feature_deltas_by_task.csv
Grant abstract,Generic text feature,Words,words,Full paired dataset,1831,7,-31.20449214763178,-47.27697603111397,-17.61995648901495,-31,"[-47, -18]",True,Higher for framed neutral,0.24497628555958398,947,+0.24 (n=947),28.6%,70.7%,0.7%,Raw feature units; positive means moral low output has more/higher feature value.,Word count.,outputs/analysis/moral_low_vs_framed_neutral_feature_deltas_by_task.csv
Grant abstract,Generic text feature,Positive-word rate per 1k words,positive_words_per_1k,Full paired dataset,1831,7,-0.9705412419950392,-1.61205001165741,-0.2894643872562292,-0.97,"[-1.61, -0.29]",True,Higher for framed neutral,-0.14026079709255515,947,-0.14 (n=947),46.7%,53.1%,0.2%,Raw feature units; positive means moral low output has more/higher feature value.,"VADER positive-lexicon tokens per 1,000 words.",outputs/analysis/moral_low_vs_framed_neutral_feature_deltas_by_task.csv
Grant abstract,Generic text feature,Paragraphs,paragraphs,Full paired dataset,1831,7,0.4656177621322981,0.032908608338533,0.9756960114309372,0.5,"[0.0, 1.0]",True,Higher for moral low,0.17622514078350704,947,+0.18 (n=947),33.8%,21.8%,44.4%,Raw feature units; positive means moral low output has more/higher feature value.,Paragraph count split on blank lines.,outputs/analysis/moral_low_vs_framed_neutral_feature_deltas_by_task.csv
Grant abstract,Generic text feature,Unique-word ratio,unique_word_ratio,Full paired dataset,1831,7,0.0119195705938452,0.0073969400441471,0.0165105245186338,0.0119,"[0.0074, 0.0165]",True,Higher for moral low,0.1252959490114294,947,+0.13 (n=947),65.3%,34.6%,0.1%,Raw feature units; positive means moral low output has more/higher feature value.,Unique lowercased word tokens divided by total word tokens.,outputs/analysis/moral_low_vs_framed_neutral_feature_deltas_by_task.csv
Incident postmortem,Generic text feature,Words,words,Full paired dataset,1946,7,-23.31057626265013,-29.8335872897899,-16.067568763340308,-23,"[-30, -16]",True,Higher for framed neutral,0.38532346653081007,1065,"+0.39 (n=1,065)",39.7%,59.8%,0.6%,Raw feature units; positive means moral low output has more/higher feature value.,Word count.,outputs/analysis/moral_low_vs_framed_neutral_feature_deltas_by_task.csv
Incident postmortem,Generic text feature,Paragraphs,paragraphs,Full paired dataset,1946,7,-0.5919143528565707,-1.1624413931810234,-0.0945419358446531,-0.6,"[-1.2, -0.1]",True,Higher for framed neutral,0.2557891547750811,1065,"+0.26 (n=1,065)",33.1%,47.2%,19.7%,Raw feature units; positive means moral low output has more/higher feature value.,Paragraph count split on blank lines.,outputs/analysis/moral_low_vs_framed_neutral_feature_deltas_by_task.csv
Incident postmortem,Generic text feature,Unique-word ratio,unique_word_ratio,Full paired dataset,1946,7,0.0060718521358735,0.0030947621368408,0.0094394507772316,0.0061,"[0.0031, 0.0094]",True,Higher for moral low,-0.1122236366146741,1065,"-0.11 (n=1,065)",58.3%,41.7%,0.0%,Raw feature units; positive means moral low output has more/higher feature value.,Unique lowercased word tokens divided by total word tokens.,outputs/analysis/moral_low_vs_framed_neutral_feature_deltas_by_task.csv
Translation,Generic text feature,Words,words,Full paired dataset,1933,7,0.2276141507446014,0.077528540020127,0.4290548639218065,0.2,"[0.1, 0.4]",True,Higher for moral low,-0.033461309502174505,1239,"-0.03 (n=1,239)",40.7%,40.4%,19.0%,Raw feature units; positive means moral low output has more/higher feature value.,Word count.,outputs/analysis/moral_low_vs_framed_neutral_feature_deltas_by_task.csv
Translation,Generic text feature,Paragraphs,paragraphs,Full paired dataset,1933,7,0.006789847795049,0.001052643822551,0.0140800222029567,0.0,"[0.0, 0.0]",True,Higher for moral low,-0.07794387565080062,1239,"-0.08 (n=1,239)",0.4%,0.1%,99.6%,Raw feature units; positive means moral low output has more/higher feature value.,Paragraph count split on blank lines.,outputs/analysis/moral_low_vs_framed_neutral_feature_deltas_by_task.csv
