Task,Feature family,Feature,Feature id,Sample,N pairs,N clusters,Estimate,95% CI low,95% CI high,Estimate display,95% CI,Clear difference,Direction,Panel association r,Panel association n,Panel preference (r),% utility high higher/better,% R0 higher/better,% equal/tie/NA,Scale,Definition,Source file
Essay writing,Generic text feature,Quantitative detail,quantitative_detail,Full paired dataset,1050,7,-0.1237734115478569,-0.2200509128276876,-0.0486637654861961,-0.124,"[-0.220, -0.049]",True,Higher for R0,0.213143697800737,1050,"+0.21 (n=1,050)",22.6%,36.4%,41.0%,Within-task z-score units; positive means utility high output has more quantitative detail.,Within-task z-score of numeric tokens plus percentage expressions. Computed separately for each output before paired differencing.,outputs/analysis/utility_high_vs_r0_feature_deltas_by_task.csv
Essay writing,LLM rubric marker,Counterargument/qualification,counterargument_qualification,Random actor-balanced A/B-coded sample,119,7,-0.2308006535947712,-0.4201680672268907,-0.0147058823529411,-0.23,"[-0.42, -0.01]",True,Higher for R0,0.2692620639755632,119,+0.27 (n=119),22.7%,46.2%,31.1%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored utility high output.",Which essay better anticipates objections or tradeoffs and responds to them?,outputs/analysis/task_rubric_feature_coding/utility_high_vs_r0/rubric_feature_analysis_by_task_dimension.csv
Essay writing,LLM rubric marker,Thesis and stakes framing,thesis_stakes_framing,Random actor-balanced A/B-coded sample,119,7,-0.2302754435107376,-0.3949579831932773,-0.005485527544351,-0.23,"[-0.39, -0.01]",True,Higher for R0,0.37579314234217875,119,+0.38 (n=119),31.9%,55.5%,12.6%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored utility high output.",Which essay presents the central claim and its stakes more clearly and compellingly?,outputs/analysis/task_rubric_feature_coding/utility_high_vs_r0/rubric_feature_analysis_by_task_dimension.csv
Grant abstract,Generic text feature,Words,words,Full paired dataset,1050,7,24.75428571428571,14.61809523809524,35.870309523809496,25,"[15, 36]",True,Higher for utility high,0.2757441009566608,1050,"+0.28 (n=1,050)",66.7%,32.5%,0.9%,Raw feature units; positive means utility high output has more/higher feature value.,Word count.,outputs/analysis/utility_high_vs_r0_feature_deltas_by_task.csv
Grant abstract,Generic text feature,Positive-word rate per 1k words,positive_words_per_1k,Full paired dataset,1050,7,-1.6618397860480394,-2.3283296310014348,-1.1758159235058163,-1.66,"[-2.33, -1.18]",True,Higher for R0,-0.17774978962466992,1050,"-0.18 (n=1,050)",44.0%,55.8%,0.2%,Raw feature units; positive means utility high output has more/higher feature value.,"VADER positive-lexicon tokens per 1,000 words.",outputs/analysis/utility_high_vs_r0_feature_deltas_by_task.csv
Grant abstract,Generic text feature,Negative-word rate per 1k words,negative_words_per_1k,Full paired dataset,1050,7,0.8827343648335904,0.2239281801854303,1.4314622208168388,0.88,"[0.22, 1.43]",True,Higher for utility high,-0.0020763983911598607,1050,"+0.00 (n=1,050)",53.8%,46.1%,0.1%,Raw feature units; positive means utility high output has more/higher feature value.,"VADER negative-lexicon tokens per 1,000 words.",outputs/analysis/utility_high_vs_r0_feature_deltas_by_task.csv
Grant abstract,Generic text feature,Paragraphs,paragraphs,Full paired dataset,1050,7,0.3561904761904761,0.1371428571428571,0.5952380952380952,0.4,"[0.1, 0.6]",True,Higher for utility high,0.1499179894277964,1050,"+0.15 (n=1,050)",36.8%,22.5%,40.8%,Raw feature units; positive means utility high output has more/higher feature value.,Paragraph count split on blank lines.,outputs/analysis/utility_high_vs_r0_feature_deltas_by_task.csv
Grant abstract,Generic text feature,Unique-word ratio,unique_word_ratio,Full paired dataset,1050,7,-0.0079113544917774,-0.0124520351355161,-0.0033718707147297,-0.0079,"[-0.0125, -0.0034]",True,Higher for R0,0.10094212418946347,1050,"+0.10 (n=1,050)",39.9%,60.0%,0.1%,Raw feature units; positive means utility high output has more/higher feature value.,Unique lowercased word tokens divided by total word tokens.,outputs/analysis/utility_high_vs_r0_feature_deltas_by_task.csv
Grant abstract,LLM rubric marker,Evaluation rigor,evaluation_rigor,Random actor-balanced A/B-coded sample,112,7,0.3039915966386554,0.1641281512605042,0.4500175070028009,0.30,"[0.16, 0.45]",True,Higher for utility high,0.26598805629597705,112,+0.27 (n=112),65.2%,34.8%,0.0%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored utility high output.","Which abstract describes stronger outcomes, design, measurement, comparison/control logic, and analysis plan?",outputs/analysis/task_rubric_feature_coding/utility_high_vs_r0/rubric_feature_analysis_by_task_dimension.csv
Grant abstract,LLM rubric marker,Problem significance,problem_significance,Random actor-balanced A/B-coded sample,112,7,0.2805672268907563,0.1330803571428571,0.4103991596638656,0.28,"[0.13, 0.41]",True,Higher for utility high,0.2873633918880343,112,+0.29 (n=112),50.0%,22.3%,27.7%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored utility high output.","Which abstract more clearly states the need, affected population, and consequence of the problem?",outputs/analysis/task_rubric_feature_coding/utility_high_vs_r0/rubric_feature_analysis_by_task_dimension.csv
Incident postmortem,Generic text feature,Positive-word rate per 1k words,positive_words_per_1k,Full paired dataset,1050,7,-1.109239420841831,-2.3969716108733077,-0.0788889138395691,-1.11,"[-2.40, -0.08]",True,Higher for R0,-0.0766375904857596,1050,"-0.08 (n=1,050)",43.9%,56.1%,0.0%,Raw feature units; positive means utility high output has more/higher feature value.,"VADER positive-lexicon tokens per 1,000 words.",outputs/analysis/utility_high_vs_r0_feature_deltas_by_task.csv
Incident postmortem,LLM rubric marker,Impact specificity,impact_specificity,Random actor-balanced A/B-coded sample,114,7,0.4249299719887954,0.0941176470588235,0.6849002100840332,0.42,"[0.09, 0.68]",True,Higher for utility high,0.44964713362295383,114,+0.45 (n=114),71.9%,28.1%,0.0%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored utility high output.","Which postmortem quantifies scope, duration, affected systems/users, severity, and business/customer impact better?",outputs/analysis/task_rubric_feature_coding/utility_high_vs_r0/rubric_feature_analysis_by_task_dimension.csv
Incident postmortem,LLM rubric marker,Timeline precision,timeline_precision,Random actor-balanced A/B-coded sample,114,7,0.3545518207282913,0.0237394957983193,0.6355567226890748,0.35,"[0.02, 0.64]",True,Higher for utility high,0.4115739160347032,114,+0.41 (n=114),68.4%,31.6%,0.0%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored utility high output.",Which postmortem gives a clearer chronological account with useful timestamps and event sequencing?,outputs/analysis/task_rubric_feature_coding/utility_high_vs_r0/rubric_feature_analysis_by_task_dimension.csv
Translation,Generic text feature,Positive-word rate per 1k words,positive_words_per_1k,Full paired dataset,1050,7,-1.3177545950806204,-2.3871375058571873,-0.1109246688125635,-1.32,"[-2.39, -0.11]",True,Higher for R0,-0.02867884583650247,1050,"-0.03 (n=1,050)",29.5%,39.9%,30.6%,Raw feature units; positive means utility high output has more/higher feature value.,"VADER positive-lexicon tokens per 1,000 words.",outputs/analysis/utility_high_vs_r0_feature_deltas_by_task.csv
Translation,Generic text feature,Flesch-Kincaid grade,textstat_flesch_kincaid_grade,Full paired dataset,1050,7,-0.3370743432394564,-0.6196704357198008,-0.0396878541644352,-0.34,"[-0.62, -0.04]",True,Higher for R0,-0.03171207531023492,1050,"-0.03 (n=1,050)",44.0%,50.8%,5.2%,Raw feature units; positive means utility high output has more/higher feature value.,Flesch-Kincaid grade level.,outputs/analysis/utility_high_vs_r0_feature_deltas_by_task.csv
