actor,actor_label,task,task_label,strong_wins,neutral_wins,ties,unresolved,n_excl_tie,strong_win_rate_excluding_ties,ci_lo,ci_hi,ci_positive,p_two_sided_exact,strong_net_score,mean_word_diff_strong_minus_neutral,familywise_ci_method,familywise_ci_lo,familywise_ci_hi,familywise_ci_positive,holm_p_two_sided,holm_positive
deepseek-v3.2-or,DeepSeek V3.2,essay,Essay writing,150,7,143,0,157,0.9554140127388535,0.9108359461312846,0.9782375273979517,True,4.674586427453427e-36,0.4766666666666667,30.016666666666666,Bonferroni exact binomial 95% familywise CI across 28 actor-task cells,0.8789659002860418,0.990367295857428,True,1.215392471137891e-34,True
deepseek-v3.2-or,DeepSeek V3.2,translation,Translation,117,69,264,0,186,0.6290322580645161,0.5576544818358797,0.6951878878028086,True,0.0005333992648071449,0.1066666666666666,0.7044444444444444,Bonferroni exact binomial 95% familywise CI across 28 actor-task cells,0.5125081489044649,0.7359241223976382,True,0.0021335970592285796,True
deepseek-v3.2-or,DeepSeek V3.2,incident_postmortem,Incident postmortem,141,28,131,0,169,0.834319526627219,0.7709644623753791,0.8828133318593423,True,2.4497812121862716e-19,0.3766666666666666,130.35,Bonferroni exact binomial 95% familywise CI across 28 actor-task cells,0.7291523115670886,0.9118050693046276,True,4.6545843031539164e-18,True
deepseek-v3.2-or,DeepSeek V3.2,grant_proposal_abstract,Grant abstract,156,25,114,5,181,0.861878453038674,0.8040515930276444,0.9046633282887693,True,2.4313479520724497e-24,0.4440677966101695,33.096666666666664,Bonferroni exact binomial 95% familywise CI across 28 actor-task cells,0.7656317019013891,0.9300771841537953,True,5.105830699352144e-23,True
gpt-5.4-mini-or,GPT-5.4 mini,essay,Essay writing,133,8,159,0,141,0.9432624113475178,0.892038495203873,0.9709732362323994,True,2.4139453472431493e-30,0.4166666666666667,11.07,Bonferroni exact binomial 95% familywise CI across 28 actor-task cells,0.8557387110244954,0.986018334470642,True,6.034863368107873e-29,True
gpt-5.4-mini-or,GPT-5.4 mini,translation,Translation,81,91,278,0,172,0.47093023255813954,0.39778405133173356,0.5453465844222631,False,0.49267221764855185,-0.0222222222222222,-0.1288888888888889,Bonferroni exact binomial 95% familywise CI across 28 actor-task cells,0.3522503650763771,0.5919541432315806,False,0.49267221764855185,False
gpt-5.4-mini-or,GPT-5.4 mini,incident_postmortem,Incident postmortem,123,35,142,0,158,0.7784810126582279,0.7075507476076623,0.8361907873252599,True,1.1200911360125994e-12,0.2933333333333333,19.506666666666668,Bonferroni exact binomial 95% familywise CI across 28 actor-task cells,0.6613194778085991,0.8710709221656813,True,1.792145817620159e-11,True
gpt-5.4-mini-or,GPT-5.4 mini,grant_proposal_abstract,Grant abstract,105,21,174,0,126,0.8333333333333334,0.7586131775066918,0.8883289427382839,True,1.2546250479235123e-14,0.28,5.493333333333333,Bonferroni exact binomial 95% familywise CI across 28 actor-task cells,0.7087036435589745,0.9209825261912664,True,2.258325086262322e-13,True
glm-5.1-or,GLM-5.1,essay,Essay writing,120,18,162,0,138,0.8695652173913043,0.8032349397155273,0.9158770838375064,True,1.087064198398728e-19,0.34,7.396666666666667,Bonferroni exact binomial 95% familywise CI across 28 actor-task cells,0.7584821853207635,0.9430600901669745,True,2.174128396797456e-18,True
glm-5.1-or,GLM-5.1,translation,Translation,153,60,237,0,213,0.7183098591549296,0.6544450801720078,0.7744394143161349,True,1.490000841073049e-10,0.2066666666666666,0.2955555555555555,Bonferroni exact binomial 95% familywise CI across 28 actor-task cells,0.6136934833154348,0.8086649671381724,True,2.0860011775022685e-09,True
glm-5.1-or,GLM-5.1,incident_postmortem,Incident postmortem,165,20,115,0,185,0.8918918918918919,0.8389191830884745,0.9289201065595692,True,1.4471568592745513e-29,0.4833333333333333,40.47666666666667,Bonferroni exact binomial 95% familywise CI across 28 actor-task cells,0.8032919374316545,0.9506654187194246,True,3.3284607763314678e-28,True
glm-5.1-or,GLM-5.1,grant_proposal_abstract,Grant abstract,168,26,106,0,194,0.865979381443299,0.8108720716408191,0.9068738422620204,True,1.2264771533782875e-26,0.4733333333333333,8.793333333333333,Bonferroni exact binomial 95% familywise CI across 28 actor-task cells,0.7743108002591013,0.9311733147626654,True,2.6982497374322324e-25,True
kimi-k2.5-or,Kimi K2.5,essay,Essay writing,168,5,127,0,173,0.9710982658959537,0.9341355925492061,0.9875932314379101,True,2.096655508768743e-43,0.5433333333333333,35.06,Bonferroni exact binomial 95% familywise CI across 28 actor-task cells,0.9071481101744995,0.9957947656251598,True,5.660969873675606e-42,True
kimi-k2.5-or,Kimi K2.5,translation,Translation,159,67,224,0,226,0.7035398230088495,0.6409967890128146,0.7592788790994852,True,8.363732616155278e-10,0.2044444444444444,0.0822222222222222,Bonferroni exact binomial 95% familywise CI across 28 actor-task cells,0.6012444355746838,0.7933086721411531,True,1.0872852401001861e-08,True
kimi-k2.5-or,Kimi K2.5,incident_postmortem,Incident postmortem,198,11,91,0,209,0.9473684210526315,0.9082268876028372,0.9703607569177828,True,1.6387699150304842e-45,0.6233333333333333,134.67333333333335,Bonferroni exact binomial 95% familywise CI across 28 actor-task cells,0.8809672369006282,0.9832673009871242,True,4.588555762085355e-44,True
kimi-k2.5-or,Kimi K2.5,grant_proposal_abstract,Grant abstract,160,17,123,0,177,0.903954802259887,0.8515791555424113,0.9391681061495887,True,2.4361342914547978e-30,0.4766666666666667,23.7,Bonferroni exact binomial 95% familywise CI across 28 actor-task cells,0.8160451156582025,0.9596667880773433,True,6.034863368107873e-29,True
mimo-v25-pro-or,MiMo V2.5 Pro,essay,Essay writing,109,57,134,0,166,0.6566265060240963,0.5815831021620439,0.7245845269700415,True,6.64759032274583e-05,0.1733333333333333,13.073333333333334,Bonferroni exact binomial 95% familywise CI across 28 actor-task cells,0.5338042143213387,0.7663460643525668,True,0.0003988554193647498,True
mimo-v25-pro-or,MiMo V2.5 Pro,translation,Translation,126,88,236,0,214,0.5887850467289719,0.5218576678182902,0.652581006888469,True,0.011256340941304899,0.0844444444444444,0.2044444444444444,Bonferroni exact binomial 95% familywise CI across 28 actor-task cells,0.4798580447295793,0.6919528556822753,False,0.033769022823914696,True
mimo-v25-pro-or,MiMo V2.5 Pro,incident_postmortem,Incident postmortem,142,68,90,0,210,0.6761904761904762,0.6102278655879068,0.7358226690134058,True,3.6095382887929964e-07,0.2466666666666666,82.74333333333334,Bonferroni exact binomial 95% familywise CI across 28 actor-task cells,0.5683791661353703,0.7723401078763424,True,3.2485844599136967e-06,True
mimo-v25-pro-or,MiMo V2.5 Pro,grant_proposal_abstract,Grant abstract,137,53,110,0,190,0.7210526315789474,0.6533839301908292,0.7799595832758365,True,9.258720231217146e-10,0.28,8.253333333333334,Bonferroni exact binomial 95% familywise CI across 28 actor-task cells,0.6100392279653033,0.8158777496889125,True,1.1110464277460575e-08,True
qwen3.5-9b-or,Qwen3.5 9B,essay,Essay writing,68,31,201,0,99,0.6868686868686869,0.5899831082357886,0.769793480226468,True,0.00025534608649658137,0.1233333333333333,18.176666666666662,Bonferroni exact binomial 95% familywise CI across 28 actor-task cells,0.5270550910193348,0.8205560079663481,True,0.001276730432482907,True
qwen3.5-9b-or,Qwen3.5 9B,translation,Translation,155,129,166,0,284,0.545774647887324,0.48764011682266617,0.6026873410569454,False,0.1378090767415522,0.0577777777777777,1.04,Bonferroni exact binomial 95% familywise CI across 28 actor-task cells,0.4515104672561892,0.6378020485969818,False,0.2756181534831044,False
qwen3.5-9b-or,Qwen3.5 9B,incident_postmortem,Incident postmortem,114,31,155,0,145,0.7862068965517242,0.7125412798762675,0.8450985197496436,True,2.3497857955010335e-12,0.2766666666666666,39.693333333333335,Bonferroni exact binomial 95% familywise CI across 28 actor-task cells,0.6642856000662667,0.8806077590370159,True,3.5246786932515505e-11,True
qwen3.5-9b-or,Qwen3.5 9B,grant_proposal_abstract,Grant abstract,86,40,174,0,126,0.6825396825396826,0.596889187315963,0.7573886404372379,True,5.103265178960251e-05,0.1533333333333333,11.263333333333334,Bonferroni exact binomial 95% familywise CI across 28 actor-task cells,0.541706180541882,0.8032735202649608,True,0.0003572285625272176,True
qwen3.6-plus-or,Qwen3.6 Plus,essay,Essay writing,71,18,211,0,89,0.797752808988764,0.7028015582268841,0.868063226524779,True,1.2968749869187788e-08,0.1766666666666666,0.8166666666666667,Bonferroni exact binomial 95% familywise CI across 28 actor-task cells,0.639185094821762,0.9098463547338903,True,1.4265624856106568e-07,True
qwen3.6-plus-or,Qwen3.6 Plus,translation,Translation,130,65,255,0,195,0.6666666666666666,0.5978442472806696,0.7290491190973921,True,3.7653418523193864e-06,0.1444444444444444,0.1422222222222222,Bonferroni exact binomial 95% familywise CI across 28 actor-task cells,0.5541520936021205,0.7673047979733139,True,3.012273481855509e-05,True
qwen3.6-plus-or,Qwen3.6 Plus,incident_postmortem,Incident postmortem,87,31,182,0,118,0.7372881355932204,0.6513014601205099,0.8083116769361275,True,2.482077505301118e-07,0.1866666666666666,-19.086666666666662,Bonferroni exact binomial 95% familywise CI across 28 actor-task cells,0.595193640281158,0.8514471549002567,True,2.482077505301118e-06,True
qwen3.6-plus-or,Qwen3.6 Plus,grant_proposal_abstract,Grant abstract,128,37,135,0,165,0.7757575757575758,0.7062585742403598,0.8327081259093663,True,6.095098034624992e-13,0.3033333333333333,-7.096666666666667,Bonferroni exact binomial 95% familywise CI across 28 actor-task cells,0.661058625948034,0.8671579296633111,True,1.0361666658862485e-11,True
