condition,condition_label,actor,actor_label,task,task_label,resolved_n,target_wins,target_losses,ties,target_win_rate_excluding_ties,familywise_ci_lo,familywise_ci_hi,familywise_ci_positive,p_two_sided_exact,holm_p_two_sided,holm_positive
amount,Amount,deepseek-v3.2-or,DeepSeek V3.2,essay,Essay writing,120,55,65,180,0.4583333333333333,0.31783176683191283,0.6036400215170876,False,0.4114232202639375,1.0,False
amount,Amount,deepseek-v3.2-or,DeepSeek V3.2,grant_proposal_abstract,Grant abstract,131,87,44,169,0.6641221374045801,0.5253584234722366,0.7855067866346607,True,0.00021577652478126048,0.005825966169094033,True
amount,Amount,deepseek-v3.2-or,DeepSeek V3.2,incident_postmortem,Incident postmortem,160,73,87,140,0.45625,0.33417942750023816,0.5821120525974808,False,0.30405987771541065,1.0,False
amount,Amount,deepseek-v3.2-or,DeepSeek V3.2,translation,Translation,112,47,65,188,0.41964285714285715,0.27812500197018775,0.57108577302127,False,0.10778227965475423,1.0,False
amount,Amount,glm-5.1-or,GLM-5.1,essay,Essay writing,110,56,54,190,0.509090909090909,0.3589200893338823,0.65811917131145,False,0.9240973917982828,1.0,False
amount,Amount,glm-5.1-or,GLM-5.1,grant_proposal_abstract,Grant abstract,177,136,41,123,0.768361581920904,0.6572170896366742,0.8583740320362931,True,4.2404913982013807e-13,1.1873375914963866e-11,True
amount,Amount,glm-5.1-or,GLM-5.1,incident_postmortem,Incident postmortem,144,61,83,156,0.4236111111111111,0.2976862369267241,0.5568891947870175,False,0.07975707036384032,1.0,False
amount,Amount,glm-5.1-or,GLM-5.1,translation,Translation,117,50,67,183,0.42735042735042733,0.2879408153195617,0.5753528552238785,False,0.13875316894302567,1.0,False
amount,Amount,gpt-5.4-mini-or,GPT-5.4 mini,essay,Essay writing,95,61,34,205,0.6421052631578947,0.4773027771443603,0.7862382547022704,False,0.007313123139453615,0.18282807848634036,False
amount,Amount,gpt-5.4-mini-or,GPT-5.4 mini,grant_proposal_abstract,Grant abstract,98,57,41,202,0.5816326530612245,0.4195855010631096,0.7321755276838382,False,0.12929258395357313,1.0,False
amount,Amount,gpt-5.4-mini-or,GPT-5.4 mini,incident_postmortem,Incident postmortem,143,84,59,157,0.5874125874125874,0.45358813413891286,0.7127632814734388,False,0.04437293451220857,0.9762045592685885,False
amount,Amount,gpt-5.4-mini-or,GPT-5.4 mini,translation,Translation,114,55,59,186,0.4824561403508772,0.3365765049327529,0.630464199136741,False,0.778876092002701,1.0,False
amount,Amount,kimi-k2.5-or,Kimi K2.5,essay,Essay writing,92,36,56,208,0.391304347826087,0.23989546636005432,0.5590210967210436,False,0.04701156164485404,0.9872427945419349,False
amount,Amount,kimi-k2.5-or,Kimi K2.5,grant_proposal_abstract,Grant abstract,145,68,77,155,0.4689655172413793,0.3400625978871627,0.6008344892379897,False,0.5065964185708862,1.0,False
amount,Amount,kimi-k2.5-or,Kimi K2.5,incident_postmortem,Incident postmortem,132,65,67,168,0.49242424242424243,0.35601946882216606,0.6296238101337936,False,0.9306844655255783,1.0,False
amount,Amount,kimi-k2.5-or,Kimi K2.5,translation,Translation,129,61,68,171,0.4728682170542636,0.3361451596618557,0.6125035404967346,False,0.5974849993058737,1.0,False
amount,Amount,mimo-v25-pro-or,MiMo V2.5 Pro,essay,Essay writing,153,78,75,147,0.5098039215686274,0.38217553124070214,0.6365440936332105,False,0.8716178400407855,1.0,False
amount,Amount,mimo-v25-pro-or,MiMo V2.5 Pro,grant_proposal_abstract,Grant abstract,165,103,62,135,0.6242424242424243,0.5001653666704595,0.7378690051117369,True,0.0017601917264816272,0.045764984888522306,True
amount,Amount,mimo-v25-pro-or,MiMo V2.5 Pro,incident_postmortem,Incident postmortem,200,104,96,100,0.52,0.4080040276651573,0.6306085100791238,False,0.6207289280968303,1.0,False
amount,Amount,mimo-v25-pro-or,MiMo V2.5 Pro,translation,Translation,127,58,69,173,0.4566929133858268,0.3201121569275958,0.5979950892496892,False,0.37495705068132973,1.0,False
amount,Amount,qwen3.5-9b-or,Qwen3.5 9B,essay,Essay writing,104,47,57,196,0.4519230769230769,0.30201085779069337,0.6082229289877216,False,0.37758392329809853,1.0,False
amount,Amount,qwen3.5-9b-or,Qwen3.5 9B,grant_proposal_abstract,Grant abstract,103,64,39,197,0.6213592233009708,0.46307473043046454,0.7633514214151684,False,0.017609056867909458,0.4050083079619175,False
amount,Amount,qwen3.5-9b-or,Qwen3.5 9B,incident_postmortem,Incident postmortem,142,67,75,158,0.47183098591549294,0.34142433859314253,0.6049863203797585,False,0.5570709871103275,1.0,False
amount,Amount,qwen3.5-9b-or,Qwen3.5 9B,translation,Translation,211,91,120,89,0.4312796208530806,0.32607307095996585,0.5410063877324763,False,0.053646930611168445,1.0,False
amount,Amount,qwen3.6-plus-or,Qwen3.6 Plus,essay,Essay writing,82,44,38,218,0.5365853658536586,0.3613616378492803,0.705667435730517,False,0.581114454176647,1.0,False
amount,Amount,qwen3.6-plus-or,Qwen3.6 Plus,grant_proposal_abstract,Grant abstract,135,82,53,165,0.6074074074074074,0.46959838929300707,0.7341888476815999,False,0.015644196051848806,0.37546070524437136,False
amount,Amount,qwen3.6-plus-or,Qwen3.6 Plus,incident_postmortem,Incident postmortem,145,75,70,155,0.5172413793103449,0.3858648336305557,0.6469701817246256,False,0.7398815747182796,1.0,False
amount,Amount,qwen3.6-plus-or,Qwen3.6 Plus,translation,Translation,107,49,58,193,0.45794392523364486,0.30950998070224034,0.6118105803069918,False,0.4394401017790823,1.0,False
moral,Moral,deepseek-v3.2-or,DeepSeek V3.2,essay,Essay writing,155,101,54,145,0.6516129032258065,0.524135127537724,0.7655123823761198,True,0.00019861242301878946,0.004170860883394579,True
moral,Moral,deepseek-v3.2-or,DeepSeek V3.2,grant_proposal_abstract,Grant abstract,151,121,30,149,0.8013245033112583,0.6840919745212554,0.8907051848021175,True,3.717726603907368e-14,1.0409634490940632e-12,True
moral,Moral,deepseek-v3.2-or,DeepSeek V3.2,incident_postmortem,Incident postmortem,158,90,68,140,0.569620253164557,0.4425341901859038,0.6905958132888279,False,0.09447453522193171,1.0,False
moral,Moral,deepseek-v3.2-or,DeepSeek V3.2,translation,Translation,121,67,54,148,0.5537190082644629,0.4086373435691831,0.692655926922821,False,0.2752533344023912,1.0,False
moral,Moral,glm-5.1-or,GLM-5.1,essay,Essay writing,110,53,57,190,0.4818181818181818,0.3334316044879496,0.6324899100319008,False,0.7750029828306251,1.0,False
moral,Moral,glm-5.1-or,GLM-5.1,grant_proposal_abstract,Grant abstract,167,99,68,132,0.592814371257485,0.46917886165248895,0.7087391811994761,False,0.019986107366167877,0.31977771785868603,False
moral,Moral,glm-5.1-or,GLM-5.1,incident_postmortem,Incident postmortem,142,72,70,158,0.5070422535211268,0.37472969222612684,0.6386676729068985,False,0.9331607923848076,1.0,False
moral,Moral,glm-5.1-or,GLM-5.1,translation,Translation,119,59,60,156,0.4957983193277311,0.35207898534158366,0.6400061846192753,False,1.0,1.0,False
moral,Moral,gpt-5.4-mini-or,GPT-5.4 mini,essay,Essay writing,90,51,39,194,0.5666666666666667,0.3979573796804596,0.7251603194976819,False,0.24610644971627782,1.0,False
moral,Moral,gpt-5.4-mini-or,GPT-5.4 mini,grant_proposal_abstract,Grant abstract,115,75,40,171,0.6521739130434783,0.5031997954698353,0.7828173474210308,True,0.001412957498607674,0.026846192473545808,True
moral,Moral,gpt-5.4-mini-or,GPT-5.4 mini,incident_postmortem,Incident postmortem,155,77,78,130,0.4967741935483871,0.3705272885701172,0.6233095977425688,False,1.0,1.0,False
moral,Moral,gpt-5.4-mini-or,GPT-5.4 mini,translation,Translation,121,60,61,156,0.49586776859504134,0.3533129229047293,0.6388952032195759,False,1.0,1.0,False
moral,Moral,kimi-k2.5-or,Kimi K2.5,essay,Essay writing,123,83,40,175,0.6747967479674797,0.5317954174208057,0.7980893427496628,True,0.00013195984718932785,0.0030350764853545407,True
moral,Moral,kimi-k2.5-or,Kimi K2.5,grant_proposal_abstract,Grant abstract,155,94,61,142,0.6064516129032258,0.4780733028039293,0.7253031492877231,False,0.009932668383371975,0.16885536251732358,False
moral,Moral,kimi-k2.5-or,Kimi K2.5,incident_postmortem,Incident postmortem,155,96,59,139,0.6193548387096774,0.4911230780157821,0.7369031734197695,False,0.0036930366149680134,0.06647465906942424,False
moral,Moral,kimi-k2.5-or,Kimi K2.5,translation,Translation,122,66,56,130,0.5409836065573771,0.3968943653229492,0.6804232894051818,False,0.41528518131253184,1.0,False
moral,Moral,mimo-v25-pro-or,MiMo V2.5 Pro,essay,Essay writing,117,65,52,115,0.5555555555555556,0.4079547129818214,0.6965863340009156,False,0.2671823049903962,1.0,False
moral,Moral,mimo-v25-pro-or,MiMo V2.5 Pro,grant_proposal_abstract,Grant abstract,97,47,50,75,0.4845360824742268,0.3266161761419782,0.644656486813521,False,0.8392136618440833,1.0,False
moral,Moral,mimo-v25-pro-or,MiMo V2.5 Pro,incident_postmortem,Incident postmortem,168,112,56,88,0.6666666666666666,0.5449955041289867,0.7745577223447815,True,1.8638787920587004e-05,0.00046596969801467514,True
moral,Moral,mimo-v25-pro-or,MiMo V2.5 Pro,translation,Translation,125,69,56,136,0.552,0.4093131902799222,0.6889274417376547,False,0.2830852395827476,1.0,False
moral,Moral,qwen3.5-9b-or,Qwen3.5 9B,essay,Essay writing,99,46,53,198,0.46464646464646464,0.30996507473896623,0.6242587265456916,False,0.5467134835988139,1.0,False
moral,Moral,qwen3.5-9b-or,Qwen3.5 9B,grant_proposal_abstract,Grant abstract,77,58,19,102,0.7532467532467533,0.5754403662614469,0.885600735252606,True,9.77507078797376e-06,0.00025415184048731775,True
moral,Moral,qwen3.5-9b-or,Qwen3.5 9B,incident_postmortem,Incident postmortem,109,77,32,110,0.7064220183486238,0.5556935059162533,0.8308922462263144,True,1.938048409366411e-05,0.00046596969801467514,True
moral,Moral,qwen3.5-9b-or,Qwen3.5 9B,translation,Translation,183,96,87,79,0.5245901639344263,0.4073811739897158,0.639935161012299,False,0.554386591339166,1.0,False
moral,Moral,qwen3.6-plus-or,Qwen3.6 Plus,essay,Essay writing,80,61,19,188,0.7625,0.5893996580821901,0.8901982433010563,True,2.7318699228822653e-06,7.376048791782116e-05,True
moral,Moral,qwen3.6-plus-or,Qwen3.6 Plus,grant_proposal_abstract,Grant abstract,125,84,41,171,0.672,0.5300899961321632,0.7948257286056216,True,0.00015013342257028423,0.003302935296546253,True
moral,Moral,qwen3.6-plus-or,Qwen3.6 Plus,incident_postmortem,Incident postmortem,114,77,37,180,0.6754385964912281,0.5266141402994358,0.8029346165177539,True,0.00022681103233264182,0.004536220646652836,True
moral,Moral,qwen3.6-plus-or,Qwen3.6 Plus,translation,Translation,97,54,43,165,0.5567010309278351,0.3945423476308656,0.7107896367145237,False,0.3099335342390071,1.0,False
utility,High vs low utility,deepseek-v3.2-or,DeepSeek V3.2,essay,Essay writing,124,58,66,176,0.46774193548387094,0.3287336077061506,0.6103512673816311,False,0.529769404365268,1.0,False
utility,High vs low utility,deepseek-v3.2-or,DeepSeek V3.2,grant_proposal_abstract,Grant abstract,139,81,58,161,0.5827338129496403,0.4469880999302072,0.7102304103763167,False,0.061649342510843884,1.0,False
utility,High vs low utility,deepseek-v3.2-or,DeepSeek V3.2,incident_postmortem,Incident postmortem,167,97,70,133,0.5808383233532934,0.45720628522250284,0.697755394501764,False,0.04390238535801179,1.0,False
utility,High vs low utility,deepseek-v3.2-or,DeepSeek V3.2,translation,Translation,118,50,68,182,0.423728813559322,0.2852444758702603,0.5711589194217489,False,0.11721294197631513,1.0,False
utility,High vs low utility,glm-5.1-or,GLM-5.1,essay,Essay writing,91,47,44,209,0.5164835164835165,0.3512135064725736,0.6792556967494059,False,0.8340810393049423,1.0,False
utility,High vs low utility,glm-5.1-or,GLM-5.1,grant_proposal_abstract,Grant abstract,172,88,84,128,0.5116279069767442,0.39114313696432723,0.631175096167764,False,0.8191472524347495,1.0,False
utility,High vs low utility,glm-5.1-or,GLM-5.1,incident_postmortem,Incident postmortem,145,68,77,155,0.4689655172413793,0.3400625978871627,0.6008344892379897,False,0.5065964185708862,1.0,False
utility,High vs low utility,glm-5.1-or,GLM-5.1,translation,Translation,138,74,64,162,0.5362318840579711,0.4008953963016992,0.6679310174533557,False,0.4437150035266714,1.0,False
utility,High vs low utility,gpt-5.4-mini-or,GPT-5.4 mini,essay,Essay writing,110,57,53,190,0.5181818181818182,0.3675100899680994,0.6665683955120505,False,0.7750029828306251,1.0,False
utility,High vs low utility,gpt-5.4-mini-or,GPT-5.4 mini,grant_proposal_abstract,Grant abstract,127,68,59,173,0.5354330708661418,0.3943948668108896,0.6726084413879135,False,0.4779219422067188,1.0,False
utility,High vs low utility,gpt-5.4-mini-or,GPT-5.4 mini,incident_postmortem,Incident postmortem,164,85,79,136,0.5182926829268293,0.3946853417250752,0.6403533715160428,False,0.6963409692892951,1.0,False
utility,High vs low utility,gpt-5.4-mini-or,GPT-5.4 mini,translation,Translation,124,58,66,176,0.46774193548387094,0.3287336077061506,0.6103512673816311,False,0.529769404365268,1.0,False
utility,High vs low utility,kimi-k2.5-or,Kimi K2.5,essay,Essay writing,102,60,42,198,0.5882352941176471,0.4293173576992519,0.7351987990561673,False,0.09183767826908244,1.0,False
utility,High vs low utility,kimi-k2.5-or,Kimi K2.5,grant_proposal_abstract,Grant abstract,162,91,71,138,0.5617283950617284,0.4363327590838187,0.6818396837138816,False,0.13524792193400165,1.0,False
utility,High vs low utility,kimi-k2.5-or,Kimi K2.5,incident_postmortem,Incident postmortem,132,70,62,168,0.5303030303030303,0.3921362320540823,0.6652904882682149,False,0.5425074179193996,1.0,False
utility,High vs low utility,kimi-k2.5-or,Kimi K2.5,translation,Translation,138,66,72,162,0.4782608695652174,0.3456188642362606,0.6130851790684724,False,0.6705341002455005,1.0,False
utility,High vs low utility,mimo-v25-pro-or,MiMo V2.5 Pro,essay,Essay writing,171,85,86,129,0.49707602339181284,0.3768019681152273,0.617587216650374,False,1.0,1.0,False
utility,High vs low utility,mimo-v25-pro-or,MiMo V2.5 Pro,grant_proposal_abstract,Grant abstract,180,96,84,120,0.5333333333333333,0.4149290312293415,0.6491688328052931,False,0.41235055741408777,1.0,False
utility,High vs low utility,mimo-v25-pro-or,MiMo V2.5 Pro,incident_postmortem,Incident postmortem,192,92,100,108,0.4791666666666667,0.3663437881594969,0.5934949100569868,False,0.6135472375934597,1.0,False
utility,High vs low utility,mimo-v25-pro-or,MiMo V2.5 Pro,translation,Translation,147,67,80,153,0.4557823129251701,0.3286069903929576,0.5871267243218592,False,0.322307648608775,1.0,False
utility,High vs low utility,qwen3.5-9b-or,Qwen3.5 9B,essay,Essay writing,96,42,54,204,0.4375,0.2832803083920125,0.6007068559799845,False,0.26146943628638797,1.0,False
utility,High vs low utility,qwen3.5-9b-or,Qwen3.5 9B,grant_proposal_abstract,Grant abstract,142,78,64,158,0.5492957746478874,0.41552402119046145,0.6782568625224267,False,0.27524996897157333,1.0,False
utility,High vs low utility,qwen3.5-9b-or,Qwen3.5 9B,incident_postmortem,Incident postmortem,140,79,61,160,0.5642857142857143,0.4292507954240424,0.692957444865972,False,0.15052769717161313,1.0,False
utility,High vs low utility,qwen3.5-9b-or,Qwen3.5 9B,translation,Translation,198,105,93,102,0.5303030303030303,0.41749381482642517,0.6409887803579165,False,0.4344463798742264,1.0,False
utility,High vs low utility,qwen3.6-plus-or,Qwen3.6 Plus,essay,Essay writing,81,39,42,219,0.48148148148148145,0.30955537212490536,0.6565537487927477,False,0.8243132151052083,1.0,False
utility,High vs low utility,qwen3.6-plus-or,Qwen3.6 Plus,grant_proposal_abstract,Grant abstract,136,66,70,164,0.4852941176470588,0.35127820751015904,0.6208078276512314,False,0.7971023348689008,1.0,False
utility,High vs low utility,qwen3.6-plus-or,Qwen3.6 Plus,incident_postmortem,Incident postmortem,113,61,52,187,0.5398230088495575,0.39016569364604864,0.6846062967970847,False,0.4518532686657418,1.0,False
utility,High vs low utility,qwen3.6-plus-or,Qwen3.6 Plus,translation,Translation,116,55,61,184,0.47413793103448276,0.3300831546338274,0.6212768205296799,False,0.6426674253796114,1.0,False
